matrix_name rows cols nnz block_size scramble algo mask tau centroid VBR_nzcount VBR_nzblocks_count VBR_average_height VBR_longest_row
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 03 128 51062705 199469 15.9998 899
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 06 128 50736817 198196 15.9998 920
ASIC_320ks 321671 321671 1827807 16 0 clubs 1 09 128 55496913 216789 15.9998 716
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 01 128 50812337 198491 15.9998 1071
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 03 128 49875121 194830 15.9998 912
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 06 128 50274113 196388 15.9998 914
ASIC_320ks 321671 321671 1827807 16 0 clubs 16 09 128 74977393 292888 15.9999 858
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 01 128 51666097 201826 15.9998 1071
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 03 128 51897265 202729 15.9998 926
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 06 128 58982433 230406 15.9997 771
ASIC_320ks 321671 321671 1827807 16 0 clubs 64 09 128 80609537 314888 15.9999 792
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 01 128 57000449 222665 15.9998 1302
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 03 128 58159105 227191 15.9998 782
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 06 128 71311440 278571 15.9997 895
ASIC_320ks 321671 321671 1827807 16 0 clubs 256 09 128 81775136 319469 15.9984 913
ASIC_680k 682862 682862 3871773 16 0 clubs 1 09 64 158736708 620068 15.9999 42675
ASIC_680k 682862 682862 3871773 16 0 clubs 16 03 64 112944004 441189 16 24741
ASIC_680k 682862 682862 3871773 16 0 clubs 16 06 64 124082016 484697 16 24744
ASIC_680k 682862 682862 3871773 16 0 clubs 16 09 64 173610880 678206 15.9991 24742
ASIC_680k 682862 682862 3871773 16 0 clubs 64 03 64 117785700 460102 16 24746
ASIC_680k 682862 682862 3871773 16 0 clubs 64 06 64 146623808 572751 16 24742
ASIC_680k 682862 682862 3871773 16 0 clubs 64 09 64 175540640 685710 15.9999 42675
ASIC_680k 682862 682862 3871773 16 0 clubs 256 03 64 145027492 566515 16 24750
ASIC_680k 682862 682862 3871773 16 0 clubs 256 06 64 165782532 647590 16 24742
ASIC_680k 682862 682862 3871773 16 0 clubs 256 09 64 176698688 690235 15.9999 42675
ASIC_680k 682862 682862 3871773 16 0 clubs 1 09 64 158736708 620068 15.9999 42675
ASIC_680k 682862 682862 3871773 16 0 clubs 16 03 64 112944004 441189 16 24741
ASIC_680k 682862 682862 3871773 16 0 clubs 16 06 64 124082016 484697 16 24744
ASIC_680k 682862 682862 3871773 16 0 clubs 16 09 64 173610880 678206 15.9991 24742
ASIC_680k 682862 682862 3871773 16 0 clubs 64 03 64 117785700 460102 16 24746
ASIC_680k 682862 682862 3871773 16 0 clubs 64 06 64 146623808 572751 16 24742
ASIC_680k 682862 682862 3871773 16 0 clubs 64 09 64 175540640 685710 15.9999 42675
ASIC_680k 682862 682862 3871773 16 0 clubs 256 03 64 145027492 566515 16 24750
ASIC_680k 682862 682862 3871773 16 0 clubs 256 06 64 165782532 647590 16 24742
ASIC_680k 682862 682862 3871773 16 0 clubs 256 09 64 176698688 690235 15.9999 42675
ASIC_680k 682862 682862 3871773 16 0 clubs 1 09 128 156674756 612014 15.9999 42675
